id,address_type,status,entity,number_street,apt_number,city,postal_code,country,notes
1,Billing,Active,Building,36649 8th Junction,73,Saint Petersburg,33715,United States,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
2,Billing,Inactive,Customer,61861 Bay Plaza,46,Port Hawkesbury,B9A,Canada,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
3,Home,Inactive,Building,5992 Johnson Parkway,85,Boise,83727,United States,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id
4,Shipping,Active,Building,2515 Carey Hill,8,Fresno,93762,United States,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
5,Shipping,Active,Building,29334 Oak Crossing,74,Hartford,06105,United States,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
6,Billing,Active,Customer,190 Norway Maple Court,17,Los Angeles,90055,United States,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
7,Shipping,Inactive,Building,438 Ronald Regan Place,83,San Francisco,94159,United States,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
8,Billing,Inactive,Customer,50853 Pearson Avenue,85,Bloomington,47405,United States,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
9,Home,Active,Customer,28523 Merry Park,52,Athabasca,T9S,Canada,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
10,Billing,Active,Customer,71825 Green Ridge Alley,49,El Paso,88546,United States,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
11,Billing,Inactive,Building,8289 Mockingbird Court,20,Boise,83722,United States,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
12,Billing,Active,Customer,89 Rowland Junction,95,Chico,95973,United States,suspendisse potenti in eleifend quam a odio in hac habitasse
13,Billing,Inactive,Building,1352 Union Street,90,La Ronge,J9P,Canada,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
14,Shipping,Inactive,Building,3 Grayhawk Street,9,Maple Creek,P3L,Canada,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
15,Shipping,Active,Customer,43135 Westend Road,60,Reading,19610,United States,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
16,Shipping,Active,Building,7287 Glacier Hill Lane,1,Bowen Island,V7W,Canada,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
17,Home,Inactive,Building,8 Heath Avenue,81,Phoenix,85099,United States,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
18,Home,Active,Building,02914 Mccormick Drive,95,North Cowichan,V9L,Canada,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
19,Home,Inactive,Customer,48554 Rieder Crossing,42,Punta Gorda,33982,United States,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
20,Shipping,Inactive,Customer,2 Nevada Court,83,Tuscaloosa,35487,United States,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
21,Billing,Active,Building,4 Melby Parkway,81,San Antonio,78220,United States,aliquam quis turpis eget elit sodales scelerisque mauris sit amet
22,Shipping,Inactive,Customer,0 Montana Circle,63,Rochester,14614,United States,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
23,Home,Active,Building,233 Division Way,80,Manning,V3A,Canada,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
24,Billing,Active,Customer,5 Larry Alley,46,Dallas,75265,United States,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
25,Home,Active,Customer,8 Bluejay Circle,69,Chicago,60604,United States,congue etiam justo etiam pretium iaculis justo in hac habitasse platea
26,Billing,Inactive,Customer,90 Declaration Lane,36,Denver,80217,United States,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
27,Shipping,Active,Building,7 Fair Oaks Park,52,Lanigan,J7A,Canada,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
28,Home,Inactive,Building,73 Charing Cross Terrace,14,Joliet,60435,United States,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
29,Shipping,Inactive,Building,60 Anzinger Drive,14,Tallahassee,32304,United States,in porttitor pede justo eu massa donec dapibus duis at velit eu est
30,Home,Active,Customer,39 Messerschmidt Crossing,9,Las Vegas,89115,United States,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
31,Shipping,Active,Building,60 Memorial Park,71,Stockton,95210,United States,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
32,Shipping,Inactive,Building,7 Northwestern Park,57,Dallas,75205,United States,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
33,Shipping,Active,Customer,16 Village Terrace,18,Cabano,T9H,Canada,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
34,Shipping,Active,Building,4498 Brown Plaza,93,New Hyde Park,11044,United States,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
35,Home,Inactive,Building,7 Kim Way,20,Sacramento,94273,United States,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
36,Shipping,Active,Building,665 Killdeer Crossing,57,Sarnia,N7V,Canada,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
37,Shipping,Inactive,Building,68938 Cherokee Court,65,San Diego,92132,United States,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
38,Shipping,Active,Building,4230 Vidon Road,71,Bay Roberts,V3B,Canada,felis ut at dolor quis odio consequat varius integer ac leo
39,Billing,Inactive,Customer,8 Thompson Lane,26,New York City,10184,United States,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
40,Shipping,Inactive,Building,849 American Ash Street,31,Vancouver,98682,United States,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
41,Billing,Inactive,Customer,0 Badeau Drive,59,Bonnyville,T9N,Canada,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
42,Shipping,Active,Building,41403 Swallow Point,80,Saskatoon,S7W,Canada,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
43,Home,Active,Building,485 Valley Edge Park,68,Boise,83732,United States,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
44,Shipping,Active,Customer,1 Anderson Place,13,Chandler,85246,United States,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
45,Home,Inactive,Customer,3309 Shopko Street,66,Willowdale,M3H,Canada,ligula nec sem duis aliquam convallis nunc proin at turpis a
46,Shipping,Inactive,Customer,6775 Longview Place,91,Timmins,P4P,Canada,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
47,Home,Active,Customer,933 4th Circle,85,Huntington,25775,United States,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
48,Billing,Active,Building,67729 Elmside Center,63,Les Coteaux,J7X,Canada,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
49,Billing,Inactive,Customer,60113 Lighthouse Bay Alley,50,Austin,78759,United States,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
50,Billing,Active,Customer,8 John Wall Street,31,Gravelbourg,G8V,Canada,ac est lacinia nisi venenatis tristique fusce congue diam id ornare
51,Home,Active,Building,78453 Russell Circle,48,Oklahoma City,73142,United States,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
52,Home,Inactive,Customer,26 High Crossing Way,45,Aurora,80045,United States,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
53,Billing,Active,Customer,9 Carey Avenue,91,Barrie,L9J,Canada,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
54,Shipping,Active,Building,89511 Dwight Alley,41,Dallas,75379,United States,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
55,Billing,Active,Customer,42618 Pennsylvania Alley,50,Plessisville,G6L,Canada,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
56,Shipping,Inactive,Building,6898 Talisman Park,42,Mercier,J6R,Canada,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
57,Billing,Active,Building,90605 Independence Parkway,84,Millet,T8C,Canada,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
58,Home,Inactive,Building,74 Cordelia Court,36,Smiths Falls,K7A,Canada,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
59,Billing,Inactive,Building,83828 Lake View Junction,39,Philadelphia,19141,United States,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
60,Shipping,Inactive,Building,9 Union Park,27,Milwaukee,53285,United States,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
61,Home,Active,Customer,588 Blackbird Lane,51,Greensboro,27409,United States,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
62,Home,Inactive,Customer,2427 Granby Road,26,Port Saint Lucie,34985,United States,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
63,Billing,Inactive,Building,406 Michigan Street,54,Grimshaw,N4W,Canada,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
64,Shipping,Inactive,Customer,197 Columbus Center,47,Chicago,60663,United States,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
65,Billing,Inactive,Building,20503 Maywood Pass,71,San Jose,95108,United States,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
66,Home,Inactive,Customer,5 Muir Alley,17,New York City,10045,United States,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
67,Shipping,Active,Customer,76 Ridge Oak Pass,20,Seattle,98175,United States,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non
68,Shipping,Active,Building,02940 Waxwing Avenue,68,Thetford-Mines,G6G,Canada,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
69,Home,Active,Customer,64478 Summerview Way,7,Fort McMurray,T9J,Canada,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet
70,Billing,Inactive,Customer,2 Center Trail,17,Chattanooga,37416,United States,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
71,Home,Inactive,Building,630 Anzinger Circle,82,Picton,S0H,Canada,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
72,Billing,Active,Building,3789 Bellgrove Crossing,93,Boca Raton,33499,United States,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
73,Shipping,Active,Customer,0352 Dorton Drive,28,Dayton,45426,United States,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
74,Home,Inactive,Customer,536 Becker Point,100,Washington,20508,United States,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
75,Billing,Active,Building,35 Drewry Alley,88,Mobile,36670,United States,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
76,Billing,Active,Building,8491 Colorado Trail,46,Saskatoon,S7W,Canada,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
77,Shipping,Active,Building,877 Dakota Point,97,Hollywood,33023,United States,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
78,Billing,Inactive,Building,30753 Ludington Junction,4,Smoky Lake,N8V,Canada,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
79,Home,Inactive,Building,1005 Hallows Road,78,Fort Worth,76121,United States,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
80,Shipping,Active,Building,79414 Stone Corner Court,2,Gary,46406,United States,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
81,Billing,Inactive,Customer,46606 Lighthouse Bay Circle,100,Atlanta,30328,United States,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
82,Billing,Active,Building,2 Nova Lane,65,Greeley,80638,United States,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
83,Billing,Active,Building,77 Heath Road,61,Portland,97296,United States,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
84,Shipping,Active,Customer,95527 Bayside Junction,85,Cincinnati,45208,United States,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
85,Shipping,Active,Building,9 Dennis Center,90,Nanton,L5M,Canada,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
86,Home,Inactive,Building,05 Cherokee Street,66,Fort Erie,L2A,Canada,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
87,Home,Active,Building,022 Park Meadow Alley,23,Newark,07195,United States,nulla neque libero convallis eget eleifend luctus ultricies eu nibh
88,Home,Active,Customer,7496 Sauthoff Street,34,Philadelphia,19125,United States,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
89,Billing,Active,Customer,2 Bonner Road,8,Minneapolis,55470,United States,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
90,Billing,Active,Building,60043 Schiller Parkway,80,Cookshire-Eaton,M4C,Canada,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
91,Billing,Active,Building,158 Hansons Parkway,47,El Paso,79940,United States,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
92,Home,Active,Building,6911 Eliot Parkway,22,Seattle,98175,United States,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
93,Shipping,Active,Building,5857 Mosinee Avenue,34,Los Angeles,90040,United States,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
94,Billing,Active,Customer,516 Loftsgordon Lane,72,Dallas,75277,United States,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
95,Home,Active,Customer,0174 Briar Crest Court,41,Duncan,V9L,Canada,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
96,Shipping,Inactive,Customer,72 Mccormick Park,36,Columbia,29220,United States,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
97,Shipping,Active,Building,6 Bluejay Road,87,Lorraine,J7B,Canada,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
98,Home,Inactive,Building,7144 Springs Drive,5,Wolfville,B4P,Canada,tortor risus dapibus augue vel accumsan tellus nisi eu orci
99,Home,Active,Building,05094 Waxwing Hill,72,Toledo,43635,United States,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
100,Home,Inactive,Building,1184 Badeau Street,76,Pittsburgh,15286,United States,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
101,Billing,Active,Building,36649 7th Junction,73,Saint Petersburg,33715,United States,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
102,Billing,Inactive,Customer,61861 Bay Plaza,46,Port Hawkesbury,B9A,Canada,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
103,Home,Inactive,Building,5992 Johnson Parkway,85,Boise,83727,United States,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id
104,Shipping,Active,Building,2515 Carey Hill,8,Fresno,93762,United States,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
105,Shipping,Active,Building,29334 Oak Crossing,74,Hartford,06105,United States,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
